
#Data.csv

nombre_archivo,clase,metodos,atributos
clases.py,Jugador,"ConsultarSaldo, ActualizarSaldo, TieneSaldoSuficiente, AgregarApuesta, ObtenerHistorial","nombre, apellido_paterno, apellido_materno, genero, edad, usuario, contraseña, saldo, apuestas"
clases.py,GestionJugadores,"AgregarJugador, BuscarPorCredenciales, ExisteUsuario, ObtenerTodos","jugadores"

nombre_archivo,funciones,variables_globales,dependencias
data.py,"AddJugador, FindPlayerByCredentials, AddApuesta","GestionJugadores, Apuestas","clases.GestionJugadores"


#Clases.csv

nombre_archivo,clase,metodos,atributos
clases.py,Jugador,"ConsultarSaldo, ActualizarSaldo, TieneSaldoSuficiente, AgregarApuesta, ObtenerHistorial","nombre, apellido_paterno, apellido_materno, genero, edad, usuario, contraseña, saldo, apuestas"
clases.py,GestionJugadores,"AgregarJugador, BuscarPorCredenciales, ExisteUsuario, ObtenerTodos","jugadores"


#jugadores.csv

nombre_archivo,funciones,dependencias,descripcion
jugadores.py,"RegistrarJugador, IniciarSesion","validadores, data, clases","Manejo de registro y login de jugadores"


#Apuestas.csv

nombre_archivo,funciones,juegos,dependencias
apuestas.py,"ApostarRojoNegro, Ruleta, VerHistorial, LanzaElDado, ValidarMontoPositivo, ValidarNumeroRuleta, ValidarNumerosDado","Rojo/Negro, Ruleta, Dado","random, validadores, data"

#Validadores.csv

nombre_archivo,funcion,tipos_validados,mensajes_error
validadores.py,validador,"texto, numero, decimal, genero","Nombre inválido, Apellido inválido, Género inválido, Edad inválida, Saldo inválido"

#Menu.csv

nombre_archivo,funcion,tipos_validados,mensajes_error
validadores.py,validador,"texto, numero, decimal, genero","Nombre inválido, Apellido inválido, Género inválido, Edad inválida, Saldo inválido"

#Main.csv

modulo,responsabilidad,clases,funciones_principales
clases,Definir estructura de datos,"Jugador, GestionJugadores","Constructor, Getters/Setters"
data,Almacenamiento global,-,"AddJugador, FindPlayerByCredentials, AddApuesta"
jugadores,Autenticación,-,"RegistrarJugador, IniciarSesion"
apuestas,Lógica de juegos,-,"ApostarRojoNegro, Ruleta, LanzaElDado, VerHistorial"
validadores,Validación de entrada,-,validador
menu,Interfaz de usuario,-,"MenuDeInicio, MenuJugador"
main,Punto de entrada,-,__main__


#EstructuraProyecto.csv

modulo,responsabilidad,clases,funciones_principales
clases,Definir estructura de datos,"Jugador, GestionJugadores","Constructor, Getters/Setters"
data,Almacenamiento global,-,"AddJugador, FindPlayerByCredentials, AddApuesta"
jugadores,Autenticación,-,"RegistrarJugador, IniciarSesion"
apuestas,Lógica de juegos,-,"ApostarRojoNegro, Ruleta, LanzaElDado, VerHistorial"
validadores,Validación de entrada,-,validador
menu,Interfaz de usuario,-,"MenuDeInicio, MenuJugador"
main,Punto de entrada,-,__main__

#FlujoAplicacion.csv

paso,modulo,accion,resultado
1,main.py,Inicia aplicación,Ejecuta MenuDeInicio
2,menu.py,Menú principal,Muestra opciones: registrar, login, salir
3,jugadores.py,Registro,Valida datos y crea objeto Jugador
4,jugadores.py,Login,Verifica credenciales y retorna jugador
5,menu.py,Menú jugador,Muestra juegos y opciones
6,apuestas.py,Juegos,Procesa apuestas y actualiza saldo
7,data.py,Persistencia,Almacena jugadores y apuestas

#MetodosClases.csv

clase,metodo,parametros,retorno,descripcion
Jugador,ConsultarSaldo,-,float,Devuelve saldo actual
Jugador,ActualizarSaldo,monto,float,Modifica saldo
Jugador,TieneSaldoSuficiente,monto,bool,Verifica si puede apostar
Jugador,AgregarApuesta,apuesta,-,Añade apuesta al historial
Jugador,ObtenerHistorial,-,list,Devuelve historial de apuestas
GestionJugadores,AgregarJugador,jugador,-,Añade jugador a la lista
GestionJugadores,BuscarPorCredenciales,usuario,contraseña,Jugador,Encuentra jugador por login
GestionJugadores,ExisteUsuario,usuario,bool,Verifica si usuario existe
GestionJugadores,ObtenerTodos,-,list,Devuelve todos los jugadores

